
InstanceId                                                                      FriendlyName                           
----------                                                                      ------------                           
ACPI\QCOM0C5A\64                                                                Qualcomm Temperature Sensor Device     
ACPI\IWMID001\2&DABA3FF&2                                                       qckmd Device                           
ACPI\QCOM0C10\1                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\2                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\3                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\4                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\5                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\6                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\8                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\9                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C10\A                                                                 Qualcomm(R) I2C Bus Device             
ACPI\QCOM0C11\0                                                                 Qualcomm(R) Analog-to-Digital Conver...
ACPI\QCOM0C16\F                                                                 Qualcomm(R) Bus Device                 
ACPI\QCOM0C8D\2&DABA3FF&2                                                       Qualcomm(R) Secure Processor Subsyst...
ACPI\PNP0C0B\0                                                                  ACPI Fan                               
ACPI\QCOM06D8\0                                                                 Qualcomm(R) SSG Secure Services Device 
ACPI\ACPI000C\2&DABA3FF&2                                                       ACPI Processor Aggregator              
ACPI\ACPI0010\10                                                                ACPI Processor Container Device        
ACPI\ACPI0010\11                                                                ACPI Processor Container Device        
ACPI\VEN_QCOM&DEV_0C17&SUBSYS_CRD08380&REV_012F\2&DABA3FF&2                     Qualcomm Power Engine Plug-in Device   
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\0 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\1 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\2 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\3 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\4 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\5 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\6 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\QUALCOMM_TECHNOLOGIES_INC_-_ARMV8_(64-BIT)_FAMILY_8_MODEL_1_REVISION_201\7 Snapdragon(R) X - X126100 - Qualcomm...
ACPI\VEN_QCOM&DEV_0CF9&SUBSYS_CRD08380&REV_0100\0                               Qualcomm Modem skin Policy Device      
ACPI\QCOM0D04\0                                                                 Qualcomm(R) Aqstic(TM) BT ACX Transp...
ACPI\QCOM0D05\0                                                                 Qualcomm Fan EC Interface Device       
ACPI\QCOM0D08\3                                                                 Qualcomm(R) USB3(TM) eXtensible Host...
ACPI\QCOM2466\1                                                                 Qualcomm SoC Secure Digital host con...
ACPI\VEN_QCOM&DEV_06DF&SUBSYS_CRD08380&REV_0008\2&DABA3FF&2                     Qualcomm(R) Protection Domain Servic...
ACPI\QCOM0C6D\2&DABA3FF&2                                                       Qualcomm(R) USB4(TM) Host Router Bus   
ACPI\QCOM0CBF\1                                                                 Qualcomm Temperature Sensor Device     
ACPI\PNP0A05\USB__UPC_OBJECT_CONTAINER                                          Generic Bus                            
ACPI\THERMALZONE\TZ39                                                           ACPI Thermal Zone                      
ACPI\THERMALZONE\TZ40                                                           ACPI Thermal Zone                      
ACPI\THERMALZONE\TZ41                                                           ACPI Thermal Zone                      
ACPI\ACPI0011\0                                                                 HID Button over Interrupt Driver       
ACPI\PNP0C14\0                                                                  Microsoft Windows Management Interfa...
ACPI\VEN_QCOM&DEV_0CF8&SUBSYS_CRD08380&REV_0100\0                               Qualcomm NSP limits Policy Device      
ACPI\USBC000\5                                                                  UCM-UCSI ACPI Device                   
ACPI\PNP0C14\PSM0                                                               Microsoft Windows Management Interfa...
ACPI\PNP0C14\PSMI                                                               Microsoft Windows Management Interfa...
ACPI\QCOM0427\0                                                                 Qualcomm(R) ACPI Bridge Device         
ACPI\QCOM0C2D\1                                                                 Qualcomm(R) System Manager PMIC GPIO...
ACPI\QCOM0CAC\2&DABA3FF&2                                                       Qualcomm(R) Secure Kernel Extension    
ACPI\VEN_QCOM&DEV_06E0&SUBSYS_CRD08380&REV_0008\2&DABA3FF&2                     Qualcomm(R) Peripheral Image Loader ...
ACPI\QCOM0CA4\2&DABA3FF&2                                                       Qualcomm(R) USB Type-C Device          
