
Class                 FriendlyName                                                                   InstanceId        
-----                 ------------                                                                   ----------        
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C5A\64  
Firmware              Device Firmware                                                                UEFI\RES_{22C5B...
System                qckmd Device                                                                   ACPI\IWMID001\2...
HIDClass              USB Input Device                                                               USB\VID_1A2C&PI...
DiskDrive              USB  SanDisk 3.2Gen1 USB Device                                               USBSTOR\DISK&VE...
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\1   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\2   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\3   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\4   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\5   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\6   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\8   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\9   
System                Qualcomm(R) I2C Bus Device                                                     ACPI\QCOM0C10\A   
System                Qualcomm(R) Analog-to-Digital Converter Device                                 ACPI\QCOM0C11\0   
Mouse                 HID-compliant mouse                                                            HID\VID_1C4F&PI...
MEDIA                 Qualcomm(R) Aqstic(TM) ACX External Display Audio Device                       QCASD\DYNAMICEN...
System                Qualcomm(R) Bus Device                                                         ACPI\QCOM0C16\F   
System                Qualcomm(R) Secure Processor Subsystem Device                                  ACPI\QCOM0C8D\2...
System                ACPI Fan                                                                       ACPI\PNP0C0B\0    
System                Qualcomm(R) SSG Secure Services Device                                         ACPI\QCOM06D8\0   
System                PCI Express Root Port                                                          PCI\VEN_17CB&DE...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                ACPI Processor Aggregator                                                      ACPI\ACPI000C\2...
Net                   Realtek PCIe GbE Family Controller                                             PCI\VEN_10EC&DE...
USB                   USB Mass Storage Device                                                        USB\VID_0781&PI...
SecurityDevices       Trusted Platform Module 2.0                                                    {36DEAA79-C5DD-...
System                ACPI Processor Container Device                                                ACPI\ACPI0010\10  
System                ACPI Processor Container Device                                                ACPI\ACPI0010\11  
System                Qualcomm Power Engine Plug-in Device                                           ACPI\VEN_QCOM&D...
WPD                   ESP                                                                            SWD\WPDBUSENUM\...
PrintQueue            Root Print Queue                                                               SWD\PRINTENUM\P...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
Processor             Snapdragon(R) X - X126100 - Qualcomm(R) Oryon(TM) CPU                          ACPI\QUALCOMM_T...
System                Qualcomm Modem skin Policy Device                                              ACPI\VEN_QCOM&D...
System                Volume Manager                                                                 ROOT\VOLMGR\0000  
HIDClass              HID-compliant system controller                                                HID\VID_1C4F&PI...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
AudioProcessingObject Qualcomm Audio Proxy APO                                                       SWD\DRIVERENUM\...
Bluetooth             Qualcomm(R) Aqstic(TM) BT ACX Transport Device                                 ACPI\QCOM0D04\0   
Net                   WAN Miniport (PPPOE)                                                           SWD\MSRRAS\MS_P...
System                Qualcomm Fan EC Interface Device                                               ACPI\QCOM0D05\0   
HIDClass              HID-compliant consumer control device                                          HID\VID_1C4F&PI...
USB                   Qualcomm(R) USB3(TM) eXtensible Host Controller                                ACPI\QCOM0D08\3   
MEDIA                 Qualcomm(R) Aqstic(TM) ACX Audio Device                                        ADCM\VEN_QCOM&D...
System                Microsoft Basic Display Driver                                                 ROOT\BASICDISPL...
SDHost                Qualcomm SoC Secure Digital host controller                                    ACPI\QCOM2466\1   
System                Qualcomm(R) Protection Domain Service Registry Device                          ACPI\VEN_QCOM&D...
System                Qualcomm(R) USB4(TM) Host Router Bus                                           ACPI\QCOM0C6D\2...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Microsoft Hypervisor Service                                                   ROOT\HVSERVICE\...
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0CBF\1   
System                Generic Bus                                                                    ACPI\PNP0A05\US...
System                ACPI Thermal Zone                                                              ACPI\THERMALZON...
System                ACPI Thermal Zone                                                              ACPI\THERMALZON...
System                ACPI Thermal Zone                                                              ACPI\THERMALZON...
SoftwareDevice        Microsoft RRAS Root Enumerator                                                 SWD\MSRRAS\{5E2...
Net                   Bluetooth Device (Personal Area Network)                                       BTH\MS_BTHPAN\4...
HIDClass              HID Button over Interrupt Driver                                               ACPI\ACPI0011\0   
System                Microsoft Windows Management Interface for ACPI                                ACPI\PNP0C14\0    
System                Qualcomm NSP limits Policy Device                                              ACPI\VEN_QCOM&D...
UCM                   UCM-UCSI ACPI Device                                                           ACPI\USBC000\5    
System                Microsoft Windows Management Interface for ACPI                                ACPI\PNP0C14\PSM0 
System                Microsoft Windows Management Interface for ACPI                                ACPI\PNP0C14\PSMI 
Net                   WAN Miniport (PPTP)                                                            SWD\MSRRAS\MS_P...
SCSIAdapter           Standard NVM Express Controller                                                PCI\VEN_144D&DE...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Microsoft Hyper-V Virtualization Infrastructure Driver                         ROOT\VID\0000     
System                Qualcomm(R) ACPI Bridge Device                                                 ACPI\QCOM0427\0   
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
SoftwareDevice        Bluetooth                                                                      SWD\RADIO\BLUET...
System                Qualcomm(R) System Manager PMIC GPIO Framework Extension Device                ACPI\QCOM0C2D\1   
Net                   WAN Miniport (IKEv2)                                                           SWD\MSRRAS\MS_A...
System                Composite Bus Enumerator                                                       ROOT\COMPOSITEB...
System                Microsoft Virtual Drive Enumerator                                             ROOT\VDRVROOT\0000
AudioProcessingObject Qualcomm Audio Proxy APO                                                       SWD\DRIVERENUM\...
HIDClass              Portable Device Control device                                                 HID\ACPI0011\3&...
System                Qualcomm(R) Secure Kernel Extension                                            ACPI\QCOM0CAC\2...
System                Qualcomm(R) Peripheral Image Loader Device                                     ACPI\VEN_QCOM&D...
SCSIAdapter           Microsoft Storage Spaces Controller                                            ROOT\SPACEPORT\...
Volume                Volume                                                                         STORAGE\VOLUME\...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
Firmware              System Firmware                                                                UEFI\RES_{E7884...
USBDevice             Qualcomm(R) USB Type-C Device                                                  ACPI\QCOM0CA4\2...
DiskDrive             SAMSUNG MZVL8512HDLU-00BLL                                                     SCSI\DISK&VEN_N...
AudioEndpoint         VX2452 Series (3- Qualcomm(R) Aqstic(TM) ACX External Display Audio Device)    SWD\MMDEVAPI\{0...
MEDIA                 Qualcomm(R) Aqstic(TM) ACX External Display Audio Device                       QCASD\DYNAMICEN...
Net                   Microsoft Kernel Debug Network Adapter                                         ROOT\KDNIC\0000   
System                Qualcomm(R) SOC Partition Interface Device                                     ACPI\QCOM06DD\2...
System                Qualcomm Shared Memory Port Device                                             ACPI\QCOM0C84\0   
System                Qualcomm(R) System Manager Device                                              ACPI\QCOM0C85\0   
Net                   Qualcomm FastConnect 7800 Wi-Fi 7 High Band Simultaneous (HBS) Network Adapter PCI\VEN_17CB&DE...
System                Qualcomm(R) Audio DSP Subsystem Device                                         ACPI\QCOM0C1B\2...
VolumeSnapshot        Generic volume shadow copy                                                     STORAGE\VOLUMES...
VolumeSnapshot        Generic volume shadow copy                                                     STORAGE\VOLUMES...
System                Qualcomm(R) Bus Device                                                         ACPI\QCOM0C88\0   
System                Qualcomm(R) Bus Device                                                         ACPI\QCOM0C88\1   
System                Qualcomm(R) Bus Device                                                         ACPI\QCOM0C88\2   
System                Qualcomm GPU limits Policy Device                                              ACPI\VEN_QCOM&D...
USB                   Synopsys USB 3.0 Dual-Role Controller                                          ACPI\QCOM0C8B\0   
Volume                Volume                                                                         STORAGE\VOLUME\...
Display               Qualcomm(R) Adreno(TM) X1-45 GPU                                               ACPI\VEN_QCOM&D...
Keyboard              HID Keyboard Device                                                            HID\CONVERTEDDE...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Qualcomm Subsystem Dependency Device                                           ACPI\QCOM0C20\2...
System                Qualcomm(R) NSP0 CDSP SW Thermal Device                                        ACPI\QCOM0CC3\2...
ComputeAccelerator    Snapdragon(R) X - X126100 - Qualcomm(R) Hexagon(TM) NPU                        ACPI\QCOM0D0A\2...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                ACPI Processor Container Device                                                ACPI\ACPI0010\1...
HIDClass              Virtual HID Framework (VHF) HID device                                         VHF\HID_DEVICE_...
Firmware              Device Firmware                                                                UEFI\RES_{64EC2...
System                Qualcomm(R) Wlan Thermal Mitigation Device                                     ACPI\QCOM0CD5\2...
System                PCI Express Root Port                                                          PCI\VEN_17CB&DE...
System                UMBus Root Bus Enumerator                                                      ROOT\UMBUS\0000   
Computer              ACPI ARM64-based PC                                                            ROOT\ARM64_HAL\...
DiskDrive              USB  SanDisk 3.2Gen1 USB Device                                               USBSTOR\DISK&VE...
SoftwareDevice        Microsoft Radio Device Enumeration Bus                                         SWD\RADIO\{3DB5...
System                Qualcomm(R) Data IPC Router Device                                             ACPI\QCOM0C0D\2...
System                Qualcomm System Cache Device                                                   ACPI\VEN_QCOM&D...
SoftwareDevice        Microsoft Device Association Root Enumerator                                   SWD\MSDAS\{CE95...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Microsoft Windows Management Interface for ACPI                                ACPI\PNP0C14\WM00 
USB                   USB Root Hub (USB 3.0)                                                         USB\ROOT_HUB30\...
Bluetooth             Microsoft Bluetooth Enumerator                                                 BTH\MS_BTHBRB\4...
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C91\0   
Net                   WAN Miniport (Network Monitor)                                                 SWD\MSRRAS\MS_N...
Net                   WAN Miniport (IP)                                                              SWD\MSRRAS\MS_N...
USB                   USB Mass Storage Device                                                        USB\VID_0781&PI...
System                Qualcomm(R) PCIe Platform Extension Plugin                                     ACPI\QCOM0C96\0   
System                PCI Express Root Complex                                                       ACPI\PNP0A08\4    
System                PCI Express Root Complex                                                       ACPI\PNP0A08\5    
System                PCI Express Root Complex                                                       ACPI\PNP0A08\6    
Volume                Volume                                                                         STORAGE\VOLUME\...
System                Qualcomm(R) TFTP Device                                                        ACPI\QCOM06DC\2...
System                Qualcomm Wwan Power Down Driver                                                ACPI\QCOM0CDA\0   
Firmware              Device Firmware                                                                UEFI\RES_{ABC50...
Volume                Volume                                                                         STORAGE\VOLUME\...
Mouse                 HID-compliant mouse                                                            HID\VID_1C4F&PI...
MEDIA                 Qualcomm(R) Aqstic(TM) Audio Adapter Device                                    AUCD\VEN_QCOM&D...
